race,date,meanIncome,county,percentage
total,2012,22979,Chemung,100
total,2012,25736,Clinton,100
total,2012,32405,Dutchess,100
total,2012,27469,Erie,100
total,2012,22544,Jefferson,100
total,2012,24190,Kings,100
total,2012,22837,Livingston,100
total,2012,24071,Madison,100
total,2012,27948,Monroe,100
total,2012,39933,Nassau,100
total,2012,60290,New York,100
total,2012,26104,Niagara,100
total,2012,25304,Oneida,100
total,2012,27951,Onondaga,100
total,2012,26947,Ontario,100
total,2012,29397,Orange,100
total,2012,22861,Oswego,100
total,2012,40356,Putnam,100
total,2012,25352,Queens,100
total,2012,29887,Rensselaer,100
total,2012,29939,Richmond,100
total,2012,33091,Rockland,100
total,2012,23082,St. Lawrence,100
total,2012,34109,Saratoga,100
total,2012,28324,Schenectady,100
total,2012,24502,Steuben,100
total,2012,36279,Suffolk,100
total,2012,24418,Sullivan,100
total,2012,28819,Tompkins,100
total,2012,30683,Ulster,100
total,2012,29642,Warren,100
total,2012,24305,Wayne,100
total,2012,45803,Westchester,100
white,2012,34083,Albany,77.7
white,2012,25434,Bronx,21.1
white,2012,26015,Broome,87.8
white,2012,22138,Cattaraugus,92.2
white,2012,24727,Cayuga,92.6
white,2012,23760,Chautauqua,92.9
white,2012,24545,Chemung,88.3
white,2012,26813,Clinton,92.2
white,2012,35344,Dutchess,79.6
white,2012,30538,Erie,79.1
white,2012,23220,Jefferson,87.1
white,2012,30529,Kings,44.0
white,2012,23849,Livingston,93.1
white,2012,25036,Madison,95.1
white,2012,31282,Monroe,76.3
white,2012,44834,Nassau,71.2
white,2012,84204,New York,56.9
white,2012,27658,Niagara,88.3
white,2012,27431,Oneida,86.7
white,2012,30940,Onondaga,80.9
white,2012,27394,Ontario,93.9
white,2012,31158,Orange,76.9
white,2012,23129,Oswego,95.4
white,2012,41568,Putnam,91.1
white,2012,30045,Queens,41.8
white,2012,31913,Rensselaer,87.7
white,2012,32443,Richmond,74.3
white,2012,35705,Rockland,72.0
white,2012,24069,St. Lawrence,93.3
white,2012,34643,Saratoga,94.1
white,2012,31958,Schenectady,79.1
white,2012,24678,Steuben,95.3
white,2012,39201,Suffolk,82.4
white,2012,26725,Sullivan,81.4
white,2012,31637,Tompkins,83.2
white,2012,32722,Ulster,87.0
white,2012,30230,Warren,95.8
white,2012,25013,Wayne,93.7
white,2012,55310,Westchester,66.5
black,2012,18479,Albany,13.0
black,2012,17726,Bronx,33.2
black,2012,13490,Broome,5.0
black,2012,13839,Cattaraugus,1.4
black,2012,12305,Cayuga,4.2
black,2012,8110,Chautauqua,2.4
black,2012,10398,Chemung,6.0
black,2012,0,Clinton,4.5
black,2012,21464,Dutchess,9.7
black,2012,15835,Erie,13.3
black,2012,17381,Jefferson,6.1
black,2012,20165,Kings,34.1
black,2012,7249,Livingston,2.9
black,2012,2843,Madison,1.6
black,2012,15753,Monroe,15.2
black,2012,26820,Nassau,11.4
black,2012,23199,New York,15.4
black,2012,13049,Niagara,6.7
black,2012,12935,Oneida,5.3
